id,value
97a2f3c7c36a6810bc9fd9462f5d752b,0.9
c1ccf04e0044c2106fd539efeb92301c,0.83
1cf8300a0044c2106fd539efeb923064,0.21
01c2770bc36a6810bc9fd9462f5d7535,0.41
67a2f3c7c36a6810bc9fd9462f5d7535,0.64
6ea233c7c36a6810bc9fd9462f5d7595,0.03
f3a2f3c7c36a6810bc9fd9462f5d75f9,0.9
ae686f4c2beb6690c0fcf51ef291bf4e,0.56
25f8a7042b2f6690c0fcf51ef291bf24,0.78
aab2ffc7c36a6810bc9fd9462f5d7593,0.83
bba2f3c7c36a6810bc9fd9462f5d7548,0.28
eea273c7c36a6810bc9fd9462f5d753e,0.78
08c2b30bc36a6810bc9fd9462f5d75a0,0.76
3ba2f3c7c36a6810bc9fd9462f5d754d,0.24
19c2f70bc36a6810bc9fd9462f5d7524,0.95
10b237c7c36a6810bc9fd9462f5d75fe,0.6
cac27b0bc36a6810bc9fd9462f5d7593,0.13
06b2ffc7c36a6810bc9fd9462f5d75c6,0.61
08f35284507a4a10912bf67683c6fb76,0.85
4fbd388e0044c2106fd539efeb923049,0.55
2ea273c7c36a6810bc9fd9462f5d751e,0.51
efa2f3c7c36a6810bc9fd9462f5d751b,0.7
dea273c7c36a6810bc9fd9462f5d7502,0.61
b7a237c7c36a6810bc9fd9462f5d756e,0.16
f3a237c7c36a6810bc9fd9462f5d7573,0.37
a2a273c7c36a6810bc9fd9462f5d7584,0.24
98b277c7c36a6810bc9fd9462f5d7534,0.41
eea273c7c36a6810bc9fd9462f5d7588,0.54
67a2f3c7c36a6810bc9fd9462f5d756d,0.92
23a2f3c7c36a6810bc9fd9462f5d75c3,0.3
86b2ffc7c36a6810bc9fd9462f5d75c1,0.69
93a273c7c36a6810bc9fd9462f5d75ef,0.37
f1b2ffc7c36a6810bc9fd9462f5d750b,0.23
3ea273c7c36a6810bc9fd9462f5d7543,0.16
61a0b85fc37bb0106fd59e472f5d75bf,0.99
3ea2b3c7c36a6810bc9fd9462f5d7556,0.95
3ea273c7c36a6810bc9fd9462f5d758d,0.57
58c2b30bc36a6810bc9fd9462f5d75f4,0.65
11c2b70bc36a6810bc9fd9462f5d75ad,0.19
02b8bcc60044c2106fd539efeb9230ab,0.89
2ba2f3c7c36a6810bc9fd9462f5d7568,0.63
ada03c5fc37bb0106fd59e472f5d75bc,0.29
25c7050a0084c2106fd539efeb923004,0.28
cdc2370bc36a6810bc9fd9462f5d757f,0.39
dbb2330bc36a6810bc9fd9462f5d75fd,0.21
35a0bc5fc37bb0106fd59e472f5d7573,0.83
9bb2330bc36a6810bc9fd9462f5d75b6,0.2
cdc2770bc36a6810bc9fd9462f5d7539,0.42
a4c2b30bc36a6810bc9fd9462f5d75f9,0.68
aac2bb0bc36a6810bc9fd9462f5d7505,0.31
54c2b30bc36a6810bc9fd9462f5d75a5,0.67
74c2f30bc36a6810bc9fd9462f5d75cf,0.02
55c2770bc36a6810bc9fd9462f5d755f,0.25
06c27b0bc36a6810bc9fd9462f5d75a2,0.82
adc2f70bc36a6810bc9fd9462f5d7595,0.52
f4f7850a0084c2106fd539efeb923000,0.44
65c2f70bc36a6810bc9fd9462f5d7529,0.99
c9c2770bc36a6810bc9fd9462f5d7555,0.06
1f439e04507a4a10912bf67683c6fb59,0.8
8fd41a08507a4a10912bf67683c6fbc6,0.99
68c2f30bc36a6810bc9fd9462f5d751c,0.18
1ac27b0bc36a6810bc9fd9462f5d7598,0.2
36c2bb0bc36a6810bc9fd9462f5d75b0,0.98
18c2b30bc36a6810bc9fd9462f5d75bf,0.03
6cc2b30bc36a6810bc9fd9462f5d75e5,0.22
c6c27b0bc36a6810bc9fd9462f5d7524,0.71
79c27b0bc36a6810bc9fd9462f5d753a,0.45
61c2370bc36a6810bc9fd9462f5d75cc,0.72
16b2ffc7c36a6810bc9fd9462f5d75e9,0.75
90c2b30bc36a6810bc9fd9462f5d75cd,0.88
b9c27b0bc36a6810bc9fd9462f5d751f,0.21
f7ba7c8a0044c2106fd539efeb923041,0.65
11fc784e0044c2106fd539efeb923007,0.44
06c27b0bc36a6810bc9fd9462f5d7544,0.6
0cc2b30bc36a6810bc9fd9462f5d754e,0.41
9a22ad28c3f1e1106fd59e472f5d75f0,0.79
7718410a0084c2106fd539efeb9230c1,0.58
74b2b7c7c36a6810bc9fd9462f5d751b,0.72
43c2bb0bc36a6810bc9fd9462f5d75b5,0.8
1ec27b0bc36a6810bc9fd9462f5d75c4,0.21
ffb2b30bc36a6810bc9fd9462f5d7549,0.48
6dc2f70bc36a6810bc9fd9462f5d750f,0.88
5159304a0044c2106fd539efeb9230b3,0.83
dba2b3c7c36a6810bc9fd9462f5d759c,0.37
c11652c8507a4a10912bf67683c6fb73,0.34
81c2370bc36a6810bc9fd9462f5d75d4,0.14
11c2f70bc36a6810bc9fd9462f5d750b,0.32
79c23b0bc36a6810bc9fd9462f5d75b4,0.66
0064d6c4507a4a10912bf67683c6fb45,0.8
47a273c7c36a6810bc9fd9462f5d75ea,0.79
4cb237c7c36a6810bc9fd9462f5d7586,0.02
10c2b30bc36a6810bc9fd9462f5d75e1,0.24
2cd2bf0bc36a6810bc9fd9462f5d751a,0.53
34c2370bc36a6810bc9fd9462f5d75c2,0.41
c6c27b0bc36a6810bc9fd9462f5d759d,0.08
7fb2b30bc36a6810bc9fd9462f5d7512,0.08
46b2ffc7c36a6810bc9fd9462f5d75d9,0.49
a0c2370bc36a6810bc9fd9462f5d7576,0.67
00c2730bc36a6810bc9fd9462f5d75f7,0.34
bda07c5fc37bb0106fd59e472f5d75cd,0.43
5ec2bb0bc36a6810bc9fd9462f5d7500,0.38
